Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
152,2008-05-20,33.44197463989258,33.57203708940892,33.100563741902214,33.16559606920221,3464912
153,2008-05-21,33.65332794189453,34.14105720452583,32.67786941663195,32.67786941663195,3419088
154,2008-05-22,33.19810485839844,33.3606812411659,32.84043813936002,32.84043813936002,3558000
155,2008-05-23,32.64534378051758,33.45822564909871,32.515283563577874,33.00301268472655,4417028
156,2008-05-26,32.4014892578125,32.59658184874426,30.88952719080107,30.88952719080107,2605807
157,2008-05-27,31.426027297973633,32.807926752485876,31.279708973218476,32.45025777634337,3316550
158,2008-05-28,32.5803108215332,32.77540112987393,30.987061175460774,31.53982035671733,4505700
159,2008-05-29,33.11681365966797,33.490740629126705,32.15761352946185,32.921723341113214,11026212
160,2008-05-30,32.06007766723633,33.32817507205955,31.930017412677767,33.198112612417155,4023430
161,2008-06-02,30.694438934326172,32.51529589239508,30.239223592266924,31.864987945869874,4431595
162,2008-06-03,29.55640411376953,30.564376697693223,29.280023289501074,30.23922382447577,6240766
163,2008-06-04,28.64596939086914,29.735229955940564,28.467134908519036,29.426335234654147,5762089
164,2008-06-05,28.59719467163086,28.808545312740193,27.63799436145574,28.613452752498272,9721099
165,2008-06-06,28.28830337524414,29.475112550868825,27.881862329841944,28.450879793405015,6317089
166,2008-06-09,27.898115158081055,28.580936867781187,26.66253417176258,27.96314527208026,6500809
167,2008-06-10,27.70302963256836,27.930638396880035,27.06898200147541,27.637999502086714,6717902
168,2008-06-11,27.833086013793945,28.288299032731523,27.637993459915865,27.963146246323696,2586175
169,2008-06-12,28.028173446655273,28.190749822945424,26.66253232683464,27.475414208285404,3244212
170,2008-06-13,27.849349975585938,28.255791044431295,27.556711082966928,27.979410235582883,4248430
171,2008-06-16,28.824796676635742,29.26375152726619,27.99565679644532,28.093203053835314,4354615
172,2008-06-17,29.686458587646484,29.91406511346399,28.320817227657823,29.23124553601147,4736084
173,2008-06-18,29.6539363861084,30.304244078294097,29.588906278414775,29.588906278414775,5055019
174,2008-06-19,29.019901275634766,29.588918817995204,28.54843003869579,29.06867553088755,4221271
175,2008-06-20,28.35332489013672,29.377557336524866,27.979400123967107,29.26375299634292,3837789
176,2008-06-23,27.361623764038086,28.223280319194103,27.085245106979418,28.125734002844546,4516050
177,2008-06-24,26.516216278076172,27.768055363714268,26.239835532909296,27.361612183434513,5238203
178,2008-06-25,25.78462791442871,26.32112923183986,25.199352346744995,26.01223446711575,3933879
179,2008-06-26,27.2478084564209,28.418359279272302,25.930939331983893,25.930939331983893,18253250
180,2008-06-27,26.044748306274414,26.92266275620914,25.89842996631325,26.337387191280612,6821283
181,2008-06-30,25.52450180053711,26.272353692842472,24.79290798949387,26.02848908916139,4596315
182,2008-07-01,23.71990394592285,25.52450250390835,22.809475626075027,25.52450250390835,6202295
183,2008-07-02,24.760387420654297,25.020510059306527,22.972047311909595,23.736157149497426,5245963
184,2008-07-03,24.11008644104004,24.760392056895,23.4110087860294,24.54904361377558,4726793
185,2008-07-04,24.435232162475586,24.906703156221823,23.57357835339049,23.736154710205263,4862814
186,2008-07-07,24.97174072265625,25.979715318251735,24.7603922776525,24.7603922776525,5528014
187,2008-07-08,25.703336715698242,26.337384254895177,23.085853946151765,23.085853946151765,8354280
188,2008-07-09,27.491680145263672,27.60548231814651,26.044748218617883,26.044748218617883,6860769
189,2008-07-10,28.694747924804688,29.036158885651872,26.72757258381289,27.491682724514487,7216175
190,2008-07-11,27.32909393310547,29.328782334743433,27.117743336171678,28.971115655835824,6040791
191,2008-07-14,27.345355987548828,28.32081660031426,26.662536425221663,26.662536425221663,5942149
192,2008-07-15,26.207313537597656,26.955165206460606,26.01222323599184,26.662528651510417,3693378
193,2008-07-16,25.491987228393555,26.662538281123897,25.053030032348747,26.207323002802667,6973872
194,2008-07-17,26.79258918762207,26.987681696750442,26.01222356127448,26.01222356127448,5038238
